id,Name,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country_val,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
1613,Trevoh Chalobah,1.8,24,0,0.92,65.8,0.92,3.21,5,0.03,1.3,0,0.08,88.1,1.23,3.65,1.01,0.66,0.4,1.28,1.71,2.7,18,20,18
1597,Tolga Cigerci,1.3,31,0.13,2.67,56.3,0.8,0.67,50,0.04,1.1,0,0.03,77.6,0.27,4.29,0.4,1.21,0.67,0,2.14,0.75,0.45,0.75,0.7
1153,Mislav Orsic,0,30,0,1.9,31.7,0.18,0,7,0.05,0.4,0.36,0.23,70.3,7.79,2.72,2.35,2.35,0.36,1.81,1.09,7.5,11,10,5
1426,Romain Del Castillo,1.1,27,0.38,4.52,42.6,0.89,0.32,2,0.29,0.7,0.06,0.17,66.6,7.91,4.75,2.97,1.96,1.77,2.85,2.47,6,3.2,3,3
384,Dodi Lukebakio,0.6,25,0.11,3.35,23,0.86,0.64,4,0.18,0.5,0.23,0.2,68.8,6.68,1.58,3.6,2.22,2.52,3.87,0.68,19,13,9,12
1573,Thierno Balde,0.3,21,0.04,1.97,38.9,0.63,1.63,2,0.05,1,0,0.01,82,4.93,2.51,2.76,0.29,1.5,1.42,1.13,,1,2,4
854,Kelvin Amian,1.3,25,0.04,1.8,42.1,1.29,3.3,2,0.1,0.9,0,0.11,74.8,2.73,3.87,2.01,0.99,0.61,1.78,2.05,4,3.2,3.5,3.8
219,Brandon Soppy,0.6,21,0.37,3.35,43.5,1.72,0.98,2,0.24,0.5,0,0.06,74.9,4.79,4.54,3.32,1.11,0.86,3.07,1.11,5,6,5,9
641,Illia Zabarnyi,1,20,0,0.65,66.2,1.74,3.22,50,0,0.9,0,0,86.3,0,3.97,0.74,0,0.5,0.74,1.98,1,13,15,20
1,Aaron Hickey,0.7,21,0.05,0.99,39.4,0.85,1.5,50,0.02,0.8,0,0.02,82.9,2.21,3.8,1.93,0.52,0.8,0.99,1.79,5,13,15,25
112,Andre-Frank Zambo Anguissa,1.3,27,0.19,2.76,64.9,1.34,0.73,50,0.1,1.6,0.1,0.15,87.5,3.82,5.13,1.78,1.44,1.14,2.53,1.63,10,8,7.5,40
698,Jarrod Bowen,1,26,0.14,3.16,24.5,1.31,0.7,5,0.23,1,0.14,0.25,62.7,5.93,2,2.84,2.03,1,4.37,1.09,28,35,42,38
1624,Valery,0.9,24,0.19,2.84,33.1,0.74,0.84,50,0.12,1,0,0.08,82.9,7.82,1.86,1.68,0.65,1.21,2.61,1.12,1.2,0.8,0.8,1.5
951,Lisandro Martinez,1.3,25,0,0.98,67.2,1.86,4.12,1,0.02,1.4,0.03,0.02,87,0.06,3.96,0.93,0.4,0.53,0.5,2.48,20,25,32,50
1490,Sebastian Walukiewicz,0.6,23,0,0.63,59.1,1.49,4.48,23,0.01,1.1,0,0.05,87.1,0,1.94,0.9,0.3,0.6,0.45,1.34,10,7,5,3
1410,Robin Le Normand,3.5,26,0,0.54,58.1,0.68,2.82,10,0,1.1,0,0.03,88.6,0.06,4.16,0.94,0.43,0.06,0.63,1.06,15,30,30,35
1409,Robin Koch,3.2,27,0,0.45,45.2,1.25,4.31,14,0.01,1.3,0,0.05,77.1,0.31,3.23,0.31,0.48,0.03,0.91,1.5,17,17,16,18
